epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,274.389,1.03057,3.45321,0.85466,0.97002,0.47794,0.74645,0.59695,0.59699,1.6639,0.57769,0.000331492,0.000331492,0.000331492
2,557.789,0.81783,1.6299,0.82563,0.97287,0.57094,0.88032,0.71063,0.57318,1.47058,0.57068,0.000651662,0.000651662,0.000651662
3,835.075,0.78549,1.20071,0.81907,0.92608,0.66128,0.88889,0.73932,0.56543,1.33266,0.56934,0.000958631,0.000958631,0.000958631
4,1138.7,0.74431,0.89769,0.82102,0.94626,0.60876,0.81179,0.67569,0.54065,1.00842,0.57087,0.0009406,0.0009406,0.0009406
5,1441.13,0.685,0.70649,0.80776,0.94078,0.60848,0.8676,0.73049,0.51316,1.15382,0.567,0.0009208,0.0009208,0.0009208
6,1743.33,0.66085,0.64345,0.80906,0.93328,0.69017,0.91862,0.75731,0.54866,0.93046,0.56985,0.000901,0.000901,0.000901
7,2050.8,0.64923,0.56931,0.80444,0.9618,0.61565,0.91522,0.78411,0.48043,1.03772,0.56435,0.0008812,0.0008812,0.0008812
8,2355.06,0.63803,0.5596,0.80071,0.89613,0.8022,0.93644,0.78889,0.50588,0.81333,0.56461,0.0008614,0.0008614,0.0008614
9,2635.33,0.61228,0.50396,0.79554,0.93421,0.63413,0.93121,0.81071,0.46387,0.91608,0.56095,0.0008416,0.0008416,0.0008416
10,2935.65,0.60417,0.49653,0.80023,0.96964,0.63839,0.91413,0.79122,0.47391,1.00306,0.56711,0.0008218,0.0008218,0.0008218
11,3229.17,0.58893,0.47721,0.79473,0.79507,0.78755,0.92743,0.80161,0.44996,1.17167,0.5592,0.000802,0.000802,0.000802
12,3532.47,0.57021,0.47115,0.79667,0.88911,0.767,0.93458,0.80351,0.49822,0.77873,0.56331,0.0007822,0.0007822,0.0007822
13,3812.06,0.55918,0.45344,0.79345,0.86392,0.7909,0.94683,0.83553,0.43463,0.72054,0.56021,0.0007624,0.0007624,0.0007624
14,4104.37,0.5559,0.44444,0.79527,0.92527,0.77105,0.93947,0.81772,0.47979,0.69935,0.56218,0.0007426,0.0007426,0.0007426
15,4281.38,0.55244,0.43733,0.79103,0.89174,0.75319,0.91661,0.80679,0.45613,0.80135,0.55841,0.0007228,0.0007228,0.0007228
16,4598.52,0.55122,0.42871,0.79037,0.89197,0.74051,0.94311,0.82351,0.43043,0.71425,0.55787,0.000703,0.000703,0.000703
17,4909.82,0.52175,0.40672,0.79015,0.9794,0.63445,0.9234,0.81096,0.4498,1.06701,0.56055,0.0006832,0.0006832,0.0006832
18,5207.31,0.53587,0.4235,0.79422,0.79956,0.70662,0.9095,0.78834,0.44386,0.87918,0.5587,0.0006634,0.0006634,0.0006634
19,5442.42,0.5247,0.41497,0.79313,0.96874,0.62959,0.94513,0.81405,0.44224,0.86599,0.56116,0.0006436,0.0006436,0.0006436
20,5748.56,0.51455,0.40262,0.7889,0.84965,0.79701,0.94014,0.83285,0.40625,0.77408,0.55889,0.0006238,0.0006238,0.0006238
21,6068.3,0.50751,0.38888,0.78853,0.89552,0.78568,0.93749,0.83274,0.41881,0.70439,0.55617,0.000604,0.000604,0.000604
22,6333.78,0.49426,0.38441,0.78747,0.94885,0.78702,0.92473,0.82461,0.39916,0.77397,0.55332,0.0005842,0.0005842,0.0005842
